symbol	kind	in-vanilla	in-patch302	in-gs5r3	patch302-vs-vanilla	gs5r3-vs-vanilla	gs5r3-vs-patch302	changed-fields
encounter:earth/quest/encounter7	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:earth/quest/encounter8	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:earth/quest/encounter9	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:earth/quest/genbrew	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:earth/quest/gencrys	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:earth/quest/gengold	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:earth/quest/orccaves	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:earth/quest/orccaves2	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:earth/quest/orccaves3	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:earth/quest/spiderwebs	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:earth/quest/swampcaves	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:earth/quest/trollcaves	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:earth/spiderwebs	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:earth/swampcaves	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:earth/trollcaves	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:encountert	encounter	yes	yes	yes	identical	token-level	token-level	-
encounter:figtem	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:fire/encounter1	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:fire/encounter2	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:fire/encounter2alt	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:fire/encounter3	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:fire/encounter4	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:fire/encounter4a	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:fire/encounter4b	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:fire/encounter4c	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:fire/encounter5	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:fire/encounter6	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:fire/encounter7	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:fire/encounter8	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:fire/ficave	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:fire/fidung	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:fire/figtem	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:fire/fimina	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:fire/fiminc	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:fire/fiming	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:fire/fimult	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:fire/fire_dragoncave	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:fire/firecaves2	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:fire/firemult	encounter	yes	yes	yes	identical	token-level	token-level	name,unknown_name
encounter:fire/fistat	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:fire/fitowe	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:fire/gen_demon	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:fire/genfire	encounter	yes	yes	yes	identical	identical	identical	-
encounter:fire/quest/encounter1	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:fire/quest/encounter2	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:fire/quest/encounter2alt	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:fire/quest/encounter3	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:fire/quest/encounter4	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:fire/quest/encounter4a	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:fire/quest/encounter4b	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:fire/quest/encounter4c	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:fire/quest/encounter5	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:fire/quest/encounter6	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:fire/quest/encounter7	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:fire/quest/encounter8	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:fire/quest/firecaves2	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:generate/aicave	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/aidung	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/aimina	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/aiminc	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/aiming	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/aimult	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/aistat	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/aitowe	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/chcave	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/chdung	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/chmina	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/chminc	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/chming	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/chmult	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/chstat	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/chtowe	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/decave	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/dedung	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/demina	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/deminc	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/deming	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/demult	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/destat	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/detowe	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/eacave	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/eadung	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/eamina	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/eaminc	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/eaming	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/eamult	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/eastat	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/eatowe	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/ficave	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/fidung	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/fimina	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/fiminc	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/fiming	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/fimult	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/fistat	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/fitowe	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/licave	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/lidung	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/limina	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/liminc	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/liming	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/limult	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/listat	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/litowe	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/orcave	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/ordung	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/ormina	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/orminc	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/orming	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/ormult	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/orstat	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/ortowe	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/wacave	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/wadung	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/wamina	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/waminc	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/waming	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/wamult	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/wastat	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:generate/watowe	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:hidden/encounter1	encounter	yes	yes	yes	identical	identical	identical	-
encounter:hidden/encounter10	encounter	yes	yes	yes	identical	token-level	token-level	-
encounter:hidden/encounter11	encounter	yes	yes	yes	identical	identical	identical	-
encounter:hidden/encounter12	encounter	yes	yes	yes	identical	token-level	token-level	-
encounter:hidden/encounter2	encounter	yes	yes	yes	identical	token-level	token-level	-
encounter:hidden/encounter3	encounter	yes	yes	yes	identical	identical	identical	-
encounter:hidden/encounter4	encounter	yes	yes	yes	identical	identical	identical	-
encounter:hidden/encounter5	encounter	yes	yes	yes	identical	token-level	token-level	-
encounter:hidden/encounter6	encounter	yes	yes	yes	identical	identical	identical	-
encounter:hidden/encounter7	encounter	yes	yes	yes	identical	token-level	token-level	-
encounter:hidden/encounter8	encounter	yes	yes	yes	identical	identical	identical	-
encounter:hidden/encounter9	encounter	yes	yes	yes	identical	token-level	token-level	-
encounter:hidden/genbrew	encounter	yes	yes	yes	identical	identical	identical	-
encounter:hidden/gencrys	encounter	yes	yes	yes	identical	identical	identical	-
encounter:hidden/gengold	encounter	yes	yes	yes	identical	identical	identical	-
encounter:lichcastle	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:life/genbeast	encounter	yes	yes	yes	identical	token-level	token-level	army_specification
encounter:life/genlife	encounter	yes	yes	yes	identical	identical	identical	-
encounter:life/licave	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:life/lidung	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:life/lifemult	encounter	yes	yes	yes	identical	token-level	token-level	name,unknown_name
encounter:life/ligtem	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:life/limina	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:life/liminc	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:life/liming	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:life/limult	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:life/listat	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:life/litowe	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:ligtem	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:mnstrnospawn	encounter	yes	yes	yes	identical	token-level	token-level	-
encounter:orccave	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter1	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter10	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter100	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter101	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter102	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter103	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter104	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter105	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter106	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter107	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter108	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter109	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter11	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter110	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter111	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter112	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter113	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter114	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter115	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter116	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter118	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter12	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter13	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter14	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter16	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter17	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter18	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter19	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter2	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter20	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter20b	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter21	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter22	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter23	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter24	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter25	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter26	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter27	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter28	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter29	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter3	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter30	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter31	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter32	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter33	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter34	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter35	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter36	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter37	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter38	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter39	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter4	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter40	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter41	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter42	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter43	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter44	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter45	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter46	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter47	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter48	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter49	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter5	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter50	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter51	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter52	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter53	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter54	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter55	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter56	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter57	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter58	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter59	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter6	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter60	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter61	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter62	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter63	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter64	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter65	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter66	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter67	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter68	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter69	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter7	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter70	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter71	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter72	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter73	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter74	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter75	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter76	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter77	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter78	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter79	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter8	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter80	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter81	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter82	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter83	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter84a	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter84b	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter85	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter86	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter87	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter88	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter89	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter90	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter91a	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter91b	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter92	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter93	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter94	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter97	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter98	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/encounter99	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/gencentaur	encounter	yes	yes	yes	identical	token-level	token-level	CHAMP1,CHAMP2,CHAMP3,CHAMPS,MIL1,MIL2,MIL3,MILS,army_specification
encounter:order/genorder	encounter	yes	yes	yes	identical	identical	identical	-
encounter:order/guenver	encounter	yes	yes	no	identical	only-in-left	only-in-left	-
encounter:order/orcave	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/ordermult	encounter	yes	yes	yes	identical	token-level	token-level	name,unknown_name
encounter:order/ordung	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/orgtem	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/ormina	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/orminc	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/orming	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/ormult	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/orstat	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/ortowe	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter1	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter10	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter100	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter101	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter102	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter103	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter104	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter105	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter106	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter107	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter108	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter109	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter11	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter110	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter111	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter112	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter113	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter114	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter115	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter116	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter118	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter12	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter13	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter14	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter16	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter17	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter18	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter19	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter2	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter20	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter20b	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter21	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter22	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter23	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter24	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter25	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter26	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter27	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter28	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter29	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter3	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter30	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter31	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter32	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter33	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter34	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter35	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter36	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter37	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter38	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter39	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter4	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter40	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter41	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter42	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter43	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter44	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter45	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter46	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter47	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter48	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter49	encounter	no	no	yes	identical	only-in-right	only-in-right	-
encounter:order/quest/encounter5	encounter	no	no	yes	identical	only-in-right	only-in-right	-
